Location,Total incidents,Race,Religion,SexualOrientation,Ethnicity,Disability,Year,Gender,Gender Identity
Rental storage facility,9,,3,0,5,0,2016,0.0,1.0
Residence/home,1670,,249,327,1008,32,2016,11.0,24.0
Rest area,4,,0,1,3,0,2016,0.0,0.0
Restaurant,143,,14,29,92,3,2016,2.0,3.0
School/college2,146,,52,24,67,0,2016,1.0,0.0
School—college/university,210,,61,36,107,1,2016,0.0,5.0
School—elementary/secondary,248,,48,29,155,6,2016,1.0,2.0
Service/gas station,72,,8,6,55,0,2016,0.0,3.0
Shelter—mission/homeless,16,,2,2,10,0,2016,0.0,2.0
Shopping mall,8,,2,0,6,0,2016,0.0,0.0
"Specialty store (TV, fur, etc.)",39,,9,2,28,0,2016,0.0,0.0
Other/unknown,777,,301,132,297,7,2016,8.0,27.0
Total,7175,,1564,1130,4131,116,2017,46.0,119.0
Abandoned/condemned structure,5,,1,1,3,0,2017,0.0,0.0
Air/bus/train terminal,118,,13,15,84,1,2017,0.0,4.0
Amusement park,3,,0,1,2,0,2017,0.0,0.0
Arena/stadium/fairgrounds/coliseum,7,,0,3,3,1,2017,0.0,0.0
ATM separate from bank,3,,1,2,0,0,2017,0.0,0.0
Auto dealership new/used,8,,1,1,6,0,2017,0.0,0.0
Bank/savings and loan,25,,5,2,16,2,2017,0.0,0.0
Bar/nightclub,99,,5,37,52,2,2017,0.0,2.0
Camp/campground,3,,1,0,2,0,2017,0.0,0.0
Church/synagogue/temple/mosque,292,,234,12,44,0,2017,0.0,1.0
Commercial office building,139,,32,9,90,2,2017,1.0,3.0
Community center,22,,14,1,7,0,2017,0.0,0.0
Construction site,25,,3,2,19,1,2017,0.0,0.0
Convenience store,105,,13,14,71,3,2017,1.0,1.0
Cyberspace,11,,4,0,7,0,2017,0.0,0.0
Daycare facility,6,,0,1,4,1,2017,0.0,0.0
Department/discount store,91,,13,8,63,3,2017,1.0,1.0
Dock/wharf/freight/modal terminal,3,,1,0,1,0,2017,0.0,1.0
Drug store/doctor's office/hospital,75,,15,8,49,0,2017,1.0,1.0
Farm facility,3,,0,0,3,0,2017,0.0,0.0
Field/woods,50,,13,4,29,1,2017,0.0,2.0
Gambling facility/casino/race track,3,,0,0,3,0,2017,0.0,0.0
Government/public building,117,,19,17,78,2,2017,1.0,0.0
Grocery/supermarket,75,,11,4,57,1,2017,0.0,2.0
Highway/road/alley/street/sidewalk,1218,,139,241,778,16,2017,5.0,29.0
Hotel/motel/etc.,63,,11,9,41,1,2017,1.0,0.0
Industrial site,9,,1,0,8,0,2017,0.0,0.0
Jail/prison/penitentiary/corrections facility,59,,3,13,42,1,2017,0.0,0.0
Lake/waterway/beach,13,,2,3,8,0,2017,0.0,0.0
Liquor store,11,,0,2,8,0,2017,0.0,1.0
Military installation,1,,0,0,1,0,2017,0.0,0.0
Park/playground,128,,33,20,67,1,2017,0.0,1.0
Parking/drop lot/garage,419,,62,66,271,7,2017,2.0,4.0
Rental storage facility,14,,4,0,9,1,2017,0.0,0.0
Residence/home,1971,,360,366,1133,46,2017,24.0,22.0
Rest area,8,,6,0,2,0,2017,0.0,0.0
Restaurant,192,,20,38,126,3,2017,1.0,3.0
School/college2,199,,87,22,85,3,2017,0.0,2.0
School—college/university,214,,45,29,129,1,2017,1.0,6.0
School—elementary/secondary,340,,67,42,207,7,2017,2.0,9.0
Service/gas station,73,,8,4,58,2,2017,1.0,0.0
Shelter—mission/homeless,15,,0,2,12,0,2017,0.0,1.0
Shopping mall,21,,5,3,10,0,2017,0.0,3.0
"Specialty store (TV, fur, etc.)",76,,10,11,51,2,2017,1.0,0.0
Other/unknown,822,,299,115,381,5,2017,1.0,20.0
Total,7120,,1419,1196,4047,159,2018,47.0,168.0
Abandoned/condemned structure,4,,1,0,3,0,2018,0.0,0.0
Air/bus/train terminal,113,,2,34,67,1,2018,1.0,6.0
Amusement park,3,,0,0,2,0,2018,0.0,1.0
Arena/stadium/fairgrounds/coliseum,7,,1,3,2,0,2018,0.0,1.0
ATM separate from bank,2,,0,0,1,0,2018,0.0,1.0
Auto dealership new/used,8,,1,2,5,0,2018,0.0,0.0
Bank/savings and loan,28,,8,2,14,3,2018,0.0,1.0
Bar/nightclub,119,,3,59,53,1,2018,0.0,2.0
Camp/campground,4,,0,0,4,0,2018,0.0,0.0
Church/synagogue/temple/mosque,263,,219,12,29,0,2018,0.0,0.0
Commercial office building,145,,22,16,97,1,2018,3.0,4.0
Community center,20,,5,4,8,1,2018,0.0,1.0
Construction site,20,,4,2,13,0,2018,0.0,0.0
Convenience store,141,,13,19,100,4,2018,0.0,5.0
Cyberspace,23,,4,2,15,1,2018,0.0,0.0
Daycare facility,2,,0,0,2,0,2018,0.0,0.0
Department/discount store,111,,20,11,63,4,2018,2.0,6.0
Dock/wharf/freight/modal terminal,1,,0,0,1,0,2018,0.0,0.0
Drug store/doctor's office/hospital,93,,12,7,63,7,2018,0.0,2.0
Farm facility,5,,1,1,3,0,2018,0.0,0.0
Field/woods,47,,5,7,31,2,2018,0.0,1.0
Gambling facility/casino/race track,3,,0,0,3,0,2018,0.0,0.0
Government/public building,163,,22,12,116,4,2018,2.0,2.0
Grocery/supermarket,98,,5,10,75,3,2018,0.0,5.0
Highway/road/alley/street/sidewalk,1328,,143,259,846,23,2018,4.0,42.0
Hotel/motel/etc.,67,,6,17,41,2,2018,0.0,1.0
Industrial site,7,,0,0,5,1,2018,1.0,0.0
Jail/prison/penitentiary/corrections facility,69,,3,19,45,1,2018,0.0,1.0
Lake/waterway/beach,8,,1,2,4,0,2018,0.0,0.0
Liquor store,13,,0,4,6,0,2018,1.0,2.0
Military installation,0,,0,0,0,0,2018,0.0,0.0
Park/playground,106,,15,20,68,0,2018,0.0,3.0
Parking/drop lot/garage,380,,57,59,245,8,2018,3.0,7.0
Rental storage facility,12,,3,0,8,1,2018,0.0,0.0
Residence/home,1832,,303,352,1044,66,2018,18.0,33.0
Rest area,8,,6,0,2,0,2018,0.0,0.0
Restaurant,189,,15,30,136,0,2018,1.0,6.0
School/college2,69,,17,11,35,1,2018,0.0,4.0
School—college/university,314,,88,53,155,5,2018,5.0,3.0
School—elementary/secondary,273,,59,33,153,6,2018,0.0,5.0
Service/gas station,91,,12,10,63,2,2018,0.0,4.0
Shelter—mission/homeless,18,,4,2,9,0,2018,0.0,3.0
Shopping mall,21,,1,5,14,0,2018,0.0,0.0
"Specialty store (TV, fur, etc.)",79,,10,7,56,1,2018,1.0,2.0
Tribal Lands,1,,0,0,1,0,2018,0.0,0.0
Other/unknown,800,,327,108,334,9,2018,5.0,13.0
Total,7314,,1521,1195,3963,157,2019,69.0,198.0
Abandoned/condemned structure,11,,5,0,4,0,2019,0.0,0.0
Air/bus/train terminal,113,,11,23,69,1,2019,2.0,1.0
Amusement park,5,,0,3,2,0,2019,0.0,0.0
Arena/stadium/fairgrounds/coliseum,9,,1,4,3,0,2019,0.0,0.0
Auto dealership new/used,6,,2,0,3,0,2019,0.0,1.0
Bank/savings and loan,21,,3,1,16,0,2019,0.0,1.0
Bar/nightclub,124,,11,41,66,0,2019,1.0,2.0
Camp/campground,8,,2,0,6,0,2019,0.0,0.0
Church/synagogue/temple/mosque,322,,255,19,34,0,2019,0.0,0.0
Commercial office building,161,,28,26,92,1,2019,1.0,6.0
Community center,21,,2,9,8,0,2019,0.0,2.0
Construction site,23,,6,1,14,1,2019,0.0,0.0
Convenience store,127,,16,19,82,2,2019,1.0,4.0
Cyberspace,36,,10,2,21,0,2019,0.0,1.0
Daycare facility,4,,1,0,3,0,2019,0.0,0.0
Department/discount store,101,,14,12,67,0,2019,2.0,3.0
Dock/wharf/freight/modal terminal,2,,1,0,1,0,2019,0.0,0.0
Drug store/doctor's office/hospital,94,,15,8,56,4,2019,6.0,4.0
Farm facility,3,,0,0,2,0,2019,0.0,1.0
Field/woods,61,,19,8,30,0,2019,0.0,1.0
Gambling facility/casino/race track,2,,0,1,1,0,2019,0.0,0.0
Government/public building,132,,24,15,86,2,2019,1.0,3.0
Grocery/supermarket,99,,9,10,65,7,2019,0.0,7.0
Highway/road/alley/street/sidewalk,1329,,142,268,814,23,2019,6.0,50.0
Hotel/motel/etc.,55,,8,10,33,1,2019,0.0,2.0
Industrial site,18,,2,3,13,0,2019,0.0,0.0
Jail/prison/penitentiary/corrections facility,90,,1,18,64,1,2019,2.0,3.0
Lake/waterway/beach,16,,1,6,9,0,2019,0.0,0.0
Liquor store,26,,7,3,13,2,2019,0.0,0.0
Park/playground,196,,50,26,98,1,2019,0.0,3.0
Parking/drop lot/garage,341,,27,52,245,4,2019,2.0,6.0
Rental storage facility,14,,3,0,10,0,2019,1.0,0.0
Residence/home,1800,,272,336,1004,76,2019,29.0,51.0
Rest area,4,,0,1,3,0,2019,0.0,0.0
Restaurant,214,,15,45,138,3,2019,0.0,5.0
School/college2,50,,11,9,28,1,2019,0.0,1.0
School—college/university,195,,52,31,93,2,2019,5.0,2.0
School—elementary/secondary,458,,115,47,232,12,2019,2.0,9.0
Service/gas station,76,,9,7,53,3,2019,0.0,2.0
Shelter—mission/homeless,32,,0,10,17,1,2019,0.0,3.0
Shopping mall,17,,0,5,8,0,2019,0.0,1.0
"Specialty store (TV, fur, etc.)",63,,15,6,36,1,2019,0.0,3.0
Tribal Lands,1,,0,0,0,0,2019,0.0,0.0
Other/unknown,822,,356,109,311,7,2019,8.0,20.0
